Business Service,Feature,SLI,SLO,Active/Production,Priority,Data Source,Metric Type,Success Metric,Total Metric,Owners,Comments
CDC Service,Customer Adoption,Customers with CDC enabled,Monitor growth,Yes,P2,Prometheus,Throughput,CDC enabled customers,Total customers,Product Team,Business metric
CDC Service,Account Adoption,Accounts with CDC enabled,Monitor growth,Yes,P2,Prometheus,Throughput,CDC enabled accounts,Total accounts,Product Team,Feature adoption
CDC Service,Host Distribution,CDC hosts per customer,Monitor distribution,Yes,P2,Prometheus,Throughput,Hosts per customer,Total customers,Product Team,Resource utilization
CDC API,API Latency,API response time,< 200ms,Yes,P1,Prometheus,Latency,Requests < 200ms,Total requests,CDC Team,User experience
CDC API,API Availability,API success rate,> 99.9%,Yes,P1,Prometheus,Availability,Non-5xx responses,Total responses,CDC Team,Service reliability
CDC API,Client Error Rate,4XX error rate,< 1%,Yes,P2,Prometheus,Error Rate,4xx errors,Total requests,CDC Team,Client integration health
CDC API,Server Error Rate,5XX error rate,< 0.1%,Yes,P1,Prometheus,Error Rate,5xx errors,Total requests,CDC Team,Service stability
CDC Service,Error Count,Service-level errors,< 10 errors/hour,Yes,P1,Prometheus,Error Rate,Errors per hour,Total hours,CDC Team,Service health
CDC Service,Error Distribution,Error distribution by service,Monitor per service,Yes,P2,Prometheus,Error Rate,Errors by service,Total services,CDC Team,Service-specific monitoring
CDC Containers,Pod Stability,Pods without CrashLoopBackOff,100%,Yes,P1,Prometheus,Availability,Stable pods,Total pods,Platform Team,Container health
CDC Containers,Image Pull Success,Pods without ImagePullBackOff,100%,Yes,P1,Prometheus,Availability,Successful image pulls,Total pods,Platform Team,Deployment reliability
CDC Containers,Pod Restart Rate,Pod restarts per hour,< 1 restart/hour,Yes,P1,Prometheus,Error Rate,Restarts per hour,Total pod hours,Platform Team,Container stability
CDC Containers,Socket Utilization,Container open sockets,Monitor trend,Yes,P2,Prometheus,Throughput,Open sockets,Total containers,Platform Team,Resource utilization
CDC Containers,Memory Management,OOM events,0 events,Yes,P1,Prometheus,Error Rate,OOM events,Total containers,Platform Team,Memory management
CDC Processing,Event Processing,Events per second,Monitor baseline,Yes,P2,Prometheus,Throughput,Events processed,Time window,CDC Team,Processing capacity
CDC Processing,Query Processing,Queries per second,Monitor baseline,Yes,P2,Prometheus,Throughput,Queries processed,Time window,CDC Team,Query performance
CDC Processing,Data Volume,Data processed per flow,Monitor per flow,Yes,P2,Prometheus,Throughput,Data volume,Time window,CDC Team,Data processing health
CDC System,Goroutine Management,Goroutine count growth,< 10% increase/hour,Yes,P2,Prometheus,Latency,Stable goroutine count,Total monitoring time,CDC Team,Concurrency management
CDC System,Resource Efficiency,Resource utilization trend,Monitor efficiency,Yes,P2,Prometheus,Throughput,Resource usage,Time window,Platform Team,Resource optimization
CDC Features,Feature Utilization,Customer feature usage,Monitor adoption,Yes,P3,Prometheus,Throughput,Active feature users,Total customers,Product Team,Product analytics
CDC Features,Service Health,Service status health,100% uptime,Yes,P1,Prometheus,Availability,Healthy services,Total services,Platform Team,Service monitoring
CDC Capacity,Resource Growth,Resource usage trend,< 80% capacity,Yes,P2,Prometheus,Latency,Available capacity,Total capacity,Platform Team,Capacity planning
CDC Capacity,Scalability,System scalability,Handle 2x load,Yes,P2,Prometheus,Throughput,Handled load,Target load,Platform Team,Scalability planning
